Name,,,,,,,,,
China Construction Bank,,,,,,,,,
Haidilao Intl,,,,,,,,,
Bank of China H,,,,,,,,,
ICBC,,,,,,,,,
China Petrol & Chemical H,,,,,,,,,
PetroChina H,,,,,,,,,
Xiaomi,,,,,,,,,
CNOOC,,,,,,,,,
Geely Automobile,,,,,,,,,
Alibaba Health Information Tech,,,,,,,,,
Country Garden Holdings,,,,,,,,,
Ping An Insurance,,,,,,,,,
AIA Group,,,,,,,,,
CSPC Pharma,,,,,,,,,
Xinyi Solar,,,,,,,,,
China Overseas,,,,,,,,,
Alibaba,,,,,,,,,
Tencent Holdings,,,,,,,,,
China Resources Land,,,,,,,,,
Meituan,,,,,,,,,
Sino Biopharmaceutical,,,,,,,,,
WH Group Ltd,,,,,,,,,
HK & China Gas,,,,,,,,,
Country Garden Services,,,,,,,,,
China Unicom Hong Kong,,,,,,,,,
Longfor Properties,,,,,,,,,
CK Asset,,,,,,,,,
China Mobile,,,,,,,,,
Citic Pacific,,,,,,,,,
Galaxy Entertainment Group,,,,,,,,,
China Life Insurance,,,,,,,,,
WuXi Biologics,,,,,,,,,
Sands China,,,,,,,,,
Xinyi Glass,,,,,,,,,
AAC Technologies,,,,,,,,,
ANTA Sports Products,,,,,,,,,
HSBC,,,,,,,,,
China Mengniu Dairy,,,,,,,,,
Li Ning Co Ltd,,,,,,,,,
BOC Hong Kong,,,,,,,,,
Link Real Estate,,,,,,,,,
China Merchants Bank H,,,,,,,,,
Hang Lung Ppt,,,,,,,,,
Sunny Optical Tech,,,,,,,,,
SHK Ppt,,,,,,,,,
Budweiser,,,,,,,,,
BYD Co Ltd-H,,,,,,,,,
CLP Holdings,,,,,,,,,
Techtronic Industries,,,,,,,,,
CK Hutchison,,,,,,,,,
HKEX,,,,,,,,,
Hang Seng Bank,,,,,,,,,
Wharf Real Estate,,,,,,,,,
MTR,,,,,,,,,
New World,,,,,,,,,
Power Assets,,,,,,,,,
Shenzhou Int,,,,,,,,,
Hengan Intl Group,,,,,,,,,
CK Infrastructure,,,,,,,,,
Henderson Land,,,,,,,,,
